feature_transformed,importance,abs_importance,importance_type,feature_original,rank
cat__soporte_motivo_principal_Cobertura / velocidad,0.16675246448396966,0.16675246448396966,coefficient,soporte_motivo_principal,23
num_median__fact_descuento_aplicado_lag_2m,0.1646288383592519,0.1646288383592519,coefficient,num_median__fact_descuento_aplicado_lag_2m,24
num_median__red_cobertura_5g_pct_lag_3m,0.14276203064618134,0.14276203064618134,coefficient,num_median__red_cobertura_5g_pct_lag_3m,25
num_zero__soporte_duracion_media_roll_3m,-0.14010494359102244,0.14010494359102244,coefficient,num_zero__soporte_duracion_media_roll_3m,26
num_zero__soporte_duracion_max_roll_3m,0.13895967668878548,0.13895967668878548,coefficient,num_zero__soporte_duracion_max_roll_3m,27
cat__soporte_motivo_principal_Consulta general,-0.13192868951726738,0.13192868951726738,coefficient,soporte_motivo_principal,28
cat__soporte_motivo_principal_Facturación,0.12745950270621176,0.12745950270621176,coefficient,soporte_motivo_principal,29
num_zero__soporte_impago_mes_roll_3m,-0.12141324705471249,0.12141324705471249,coefficient,num_zero__soporte_impago_mes_roll_3m,30
num_median__red_indice_calidad_global_roll_3m,-0.1208285365334427,0.1208285365334427,coefficient,num_median__red_indice_calidad_global_roll_3m,31
num_median__red_cobertura_4g_pct_roll_3m,0.1086615208772271,0.1086615208772271,coefficient,num_median__red_cobertura_4g_pct_roll_3m,32
num_median__soporte_satisfaccion_min,-0.10379332959701336,0.10379332959701336,coefficient,num_median__soporte_satisfaccion_min,33
cat__soporte_canal_principal_carrier-pigeon,-0.10231351088199156,0.10231351088199156,coefficient,soporte_canal_principal,34
num_median__red_tasa_cortes_pct_lag_3m,-0.09540599488758693,0.09540599488758693,coefficient,num_median__red_tasa_cortes_pct_lag_3m,35
num_median__soporte_satisfaccion_media_roll_3m,-0.09482245627600462,0.09482245627600462,coefficient,num_median__soporte_satisfaccion_media_roll_3m,36
cat__soporte_motivo_principal_Desconocido,-0.07990240923933635,0.07990240923933635,coefficient,soporte_motivo_principal,37
num_median__soporte_satisfaccion_min_roll_3m,0.07551417453183407,0.07551417453183407,coefficient,num_median__soporte_satisfaccion_min_roll_3m,38
num_median__soporte_dias_retraso_media_roll_3m,0.07042830401194494,0.07042830401194494,coefficient,num_median__soporte_dias_retraso_media_roll_3m,39
num_median__red_cobertura_5g_pct_roll_3m,0.07028606073159076,0.07028606073159076,coefficient,num_median__red_cobertura_5g_pct_roll_3m,40
num_median__fact_num_lineas,0.07013082238713633,0.07013082238713633,coefficient,num_median__fact_num_lineas,41
num_median__soporte_satisfaccion_media,0.06871134728378737,0.06871134728378737,coefficient,num_median__soporte_satisfaccion_media,42
cat__soporte_motivo_principal_Impago / pago,0.05617223163147993,0.05617223163147993,coefficient,soporte_motivo_principal,43
num_zero__missingindicator_red_incidencia_masiva_lag_3m,-0.05426197834443331,0.05426197834443331,coefficient,num_zero__red_incidencia_masiva_lag_3m,44
num_median__missingindicator_red_cobertura_4g_pct_lag_3m,-0.05426197834443331,0.05426197834443331,coefficient,num_median__red_cobertura_4g_pct_lag_3m,45
num_median__missingindicator_red_cobertura_5g_pct_lag_3m,-0.05426197834443331,0.05426197834443331,coefficient,num_median__red_cobertura_5g_pct_lag_3m,46
num_median__missingindicator_red_tasa_cortes_pct_lag_3m,-0.05426197834443331,0.05426197834443331,coefficient,num_median__red_tasa_cortes_pct_lag_3m,47
num_median__fact_cargo_base_lag_1m,0.052240898595676266,0.052240898595676266,coefficient,num_median__fact_cargo_base_lag_1m,48
num_median__fact_importe_total_roll_3m,0.037383958146436976,0.037383958146436976,coefficient,num_median__fact_importe_total_roll_3m,49
num_median__red_cobertura_4g_pct_lag_1m,0.03159909680497695,0.03159909680497695,coefficient,num_median__red_cobertura_4g_pct_lag_1m,50
cat__soporte_motivo_principal_Calidad de señal,-0.03055376292340573,0.03055376292340573,coefficient,soporte_motivo_principal,51
cat__soporte_canal_principal_Desconocido,-0.028655228057683356,0.028655228057683356,coefficient,soporte_canal_principal,52
num_zero__missingindicator_fact_impago_flag_lag_2m,0.02475581195668436,0.02475581195668436,coefficient,num_zero__fact_impago_flag_lag_2m,53
num_median__missingindicator_fact_stress_calidad_lag_lag_2m,0.02475581195668436,0.02475581195668436,coefficient,num_median__fact_stress_calidad_lag_lag_2m,54
num_median__missingindicator_red_cobertura_5g_pct_lag_2m,0.02475581195668436,0.02475581195668436,coefficient,num_median__red_cobertura_5g_pct_lag_2m,55
num_median__missingindicator_fact_dias_retraso_pago_lag_2m,0.02475581195668436,0.02475581195668436,coefficient,num_median__fact_dias_retraso_pago_lag_2m,56
num_zero__missingindicator_red_incidencia_masiva_lag_2m,0.02475581195668436,0.02475581195668436,coefficient,num_zero__red_incidencia_masiva_lag_2m,57
num_median__missingindicator_fact_descuento_aplicado_lag_2m,0.02475581195668436,0.02475581195668436,coefficient,num_median__fact_descuento_aplicado_lag_2m,58
cat__soporte_canal_principal_app_chat,0.02357012934749407,0.02357012934749407,coefficient,soporte_canal_principal,59
cat__soporte_canal_principal_telefono,0.018277561789772395,0.018277561789772395,coefficient,soporte_canal_principal,60
cat__soporte_canal_principal_tienda,-0.017482373585448775,0.017482373585448775,coefficient,soporte_canal_principal,61
cat__soporte_motivo_principal_Baja / portabilidad,0.016617889064304843,0.016617889064304843,coefficient,soporte_motivo_principal,62
num_median__red_tasa_cortes_pct_roll_3m,0.013542358496563664,0.013542358496563664,coefficient,num_median__red_tasa_cortes_pct_roll_3m,63
num_zero__red_incidencia_masiva_lag_2m,0.010823363779420505,0.010823363779420505,coefficient,num_zero__red_incidencia_masiva_lag_2m,64
cat__fact_tipo_plan_Contrato,-0.006194358347554444,0.006194358347554444,coefficient,fact_tipo_plan,65
num_zero__red_incidencia_masiva_lag_3m,0.005603464493094303,0.005603464493094303,coefficient,num_zero__red_incidencia_masiva_lag_3m,66
cat__soporte_canal_principal_email,-0.003518029972764877,0.003518029972764877,coefficient,soporte_canal_principal,67
num_zero__missingindicator_soporte_duracion_media_roll_3m,-0.003018307560319974,0.003018307560319974,coefficient,num_zero__soporte_duracion_media_roll_3m,68
num_median__missingindicator_soporte_satisfaccion_media,-0.003018307560319974,0.003018307560319974,coefficient,num_median__soporte_satisfaccion_media,69
num_median__missingindicator_soporte_satisfaccion_min,-0.003018307560319974,0.003018307560319974,coefficient,num_median__soporte_satisfaccion_min,70
num_median__missingindicator_soporte_dias_retraso_media_roll_3m,-0.003018307560319974,0.003018307560319974,coefficient,num_median__soporte_dias_retraso_media_roll_3m,71
num_zero__missingindicator_soporte_duracion_max_roll_3m,-0.003018307560319974,0.003018307560319974,coefficient,num_zero__soporte_duracion_max_roll_3m,72
num_median__missingindicator_soporte_satisfaccion_media_roll_3m,-0.003018307560319974,0.003018307560319974,coefficient,num_median__soporte_satisfaccion_media_roll_3m,73
num_median__missingindicator_soporte_satisfaccion_min_roll_3m,-0.003018307560319974,0.003018307560319974,coefficient,num_median__soporte_satisfaccion_min_roll_3m,74
