,fact_stress_calidad_lag_lag_2m,fact_stress_calidad_lag_roll_3m,fact_dias_retraso_pago_roll_3m,fact_importe_total,fact_importe_total_roll_3m,red_indice_calidad_global_lag_2m,fact_dias_retraso_pago_lag_2m,fact_dias_retraso_pago_lag_1m,fact_dias_retraso_pago,red_indice_calidad_global_lag_3m,fact_cargo_base_lag_2m,fact_impago_flag_roll_3m,fact_cargo_base_lag_3m,fact_num_lineas_lag_1m,fact_cargo_base_lag_1m,red_indice_calidad_global_roll_3m,red_cobertura_5g_pct_lag_2m,red_poblacion_zona_lag_3m,fact_impago_flag_lag_2m,red_poblacion_zona_lag_2m,fact_importe_total_lag_3m,fact_stress_calidad_lag_lag_1m,fact_descuento_aplicado_lag_2m,fact_descuento_aplicado_roll_3m,red_indice_calidad_global_lag_1m,fact_num_lineas_roll_3m,fact_num_lineas
red_cobertura_5g_pct_lag_2m,-0.702221616539567,-0.874126848240049,-0.03994578234788427,0.28091923370394845,0.2834898884762921,0.9120581115708396,-0.020512666642043577,-0.02457030484472345,-0.024149287609026036,0.9136021721166289,0.2752338582957163,-0.031802410791547546,0.2815928580269721,0.25351713472439874,0.2752338582957163,0.9175210501998635,1.0,0.5704819983452577,-0.015520291171345938,0.5594095698158797,0.29215517017931736,-0.9031121871775482,0.1009666748146017,0.103680820042981,0.9109987191307859,0.2535171347243988,0.2535171347243988
red_poblacion_zona_lag_3m,-0.7243630583201975,-0.7279763720338599,-0.034657657024618344,0.36502445662900135,0.36530038814398935,0.7410689626427432,-0.018717654224428507,-0.01992122433730098,-0.021430794899517002,0.7428224551428984,0.35863599382111044,-0.025463290317365522,0.35863599382111044,0.34032359621552494,0.35863599382111044,0.7461001222336325,0.5704819983452577,1.0,-0.012794522292260434,1.0,0.36381153622596946,-0.7226345525437329,0.13498626886845894,0.13839103477151068,0.741201200979263,0.34032359621552494,0.34032359621552494
fact_impago_flag_lag_2m,0.019448868061960833,0.0183090100050786,0.25007747506061856,-0.011744777323307348,-0.01182429970333983,-0.015714971031677204,0.43217481896716325,0.0001894660255087812,0.0010993601417191923,-0.01832477277896646,-0.012024202929975228,0.5724844883616329,-0.012232355033630776,-0.0010499515118580988,-0.012024202929975228,-0.016260046037067245,-0.015520291171345938,-0.012794522292260434,1.0,-0.012407245066326034,-0.011909839339539548,0.015778492547303066,-0.006288824585255753,-0.006652674178106689,-0.016829592509239887,-0.001049951511858099,-0.001049951511858099
red_poblacion_zona_lag_2m,-0.6331199940476029,-0.7239678717797433,-0.03389796632179306,0.36485997824619143,0.3650469716222781,0.7380286433493862,-0.018356298489459338,-0.01921656041914323,-0.021184254622088613,0.7428224551428984,0.3586298530832521,-0.02484709624122792,0.35863599382111044,0.3401535082109259,0.3586298530832521,0.7427873275159326,0.5594095698158797,1.0,-0.012407245066326034,1.0,0.36381153622596946,-0.7196985063141286,0.13509482809894427,0.13838102838344668,0.7381199001677122,0.3401535082109259,0.3401535082109259
fact_importe_total_lag_3m,-0.36193572627426623,-0.3642616257205384,-0.018721632782000466,0.9928519830438831,0.9960664632756931,0.3555629050619197,-0.010028114158617528,-0.010676621554069704,-0.011745066401392215,0.3557190500013438,0.9841457881443305,-0.022921754492769248,0.9841457881443305,0.7019404323670765,0.9841457881443305,0.35796911537155873,0.29215517017931736,0.36381153622596946,-0.011909839339539548,0.36381153622596946,1.0,-0.3617608665957161,0.22968093715549906,0.2351831116280737,0.35570493256825797,0.7019404323670765,0.7019404323670765
fact_stress_calidad_lag_lag_1m,0.8028975444359002,0.9340943041811273,0.04006996330889525,-0.31533194344255683,-0.3157941909724153,-0.9896238264699203,0.022812912220545302,0.027844463542069854,0.021426283706237483,-0.9702408119740555,-0.3489187814415667,0.030227697218752896,-0.35142720247946796,-0.27937203015102086,-0.30706916200487394,-0.8151603753531341,-0.9031121871775482,-0.7226345525437329,0.015778492547303066,-0.7196985063141286,-0.3617608665957161,1.0,-0.12629675941666654,-0.11331975233019743,-0.8021238540174678,-0.27937203015102074,-0.27937203015102074
fact_descuento_aplicado_lag_2m,-0.11008850867183209,-0.1268305544964276,-0.007204556948161547,0.22988459292638647,0.22641331288388192,0.12470316954196409,-0.004787588672755467,-0.003985589525212231,-0.0037129941433691996,0.12511795317310292,0.36873375593280977,-0.011624582022693794,0.36867735939422785,0.2381570463365777,0.36873375593280977,0.12587430252995296,0.1009666748146017,0.13498626886845894,-0.006288824585255753,0.13509482809894427,0.22968093715549906,-0.12629675941666654,1.0,0.9764251907291349,0.1251578993691029,0.23815704633657764,0.23815704633657764
fact_descuento_aplicado_roll_3m,-0.11313698911773587,-0.11148587121334776,-0.007503932761461523,0.23113861642200945,0.23145553749866674,0.12776625751598533,-0.004474671069623958,-0.004127832914763871,-0.0044340194052849505,0.12833700179553942,0.3775802356453328,-0.01172991075535535,0.3775333373198809,0.24370014706945486,0.37751567303114353,0.12750510628719902,0.103680820042981,0.13839103477151068,-0.006652674178106689,0.13838102838344668,0.2351831116280737,-0.11331975233019743,0.9764251907291349,1.0,0.12743516783986727,0.2434629182142734,0.2434629182142734
red_indice_calidad_global_lag_1m,-0.7955138415721433,-0.914874806115638,-0.042289826414973856,0.35079462092759334,0.351956409695976,0.9811052256946713,-0.023397133580302203,-0.023866327834681882,-0.027533413302231004,0.9797194792963227,0.3443207400178398,-0.03218976514109834,0.3459668786918064,0.3105361385876448,0.3418247495570591,0.9938784948759098,0.9109987191307859,0.741201200979263,-0.016829592509239887,0.7381199001677122,0.35570493256825797,-0.8021238540174678,0.1251578993691029,0.12743516783986727,1.0,0.3105361385876447,0.3105361385876447
fact_num_lineas_roll_3m,-0.27935838959297293,-0.27722748503389316,-0.006546566997855636,0.7016680136130908,0.702501865535992,0.3119625089044284,-0.0038943399034421307,-0.0037709698378511555,-0.004561285596407329,0.31431069161540626,0.7076543603841327,-0.0022022200748807643,0.7078185343246117,1.0,0.707500331657198,0.31008938294667526,0.2535171347243988,0.34032359621552494,-0.001049951511858099,0.3401535082109259,0.7019404323670765,-0.27937203015102074,0.23815704633657764,0.2434629182142734,0.3105361385876447,1.0,1.0
fact_num_lineas,-0.27935838959297293,-0.27722748503389316,-0.006546566997855636,0.7016680136130908,0.702501865535992,0.3119625089044284,-0.0038943399034421307,-0.0037709698378511555,-0.004561285596407329,0.31431069161540626,0.7076543603841327,-0.0022022200748807643,0.7078185343246117,1.0,0.707500331657198,0.31008938294667526,0.2535171347243988,0.34032359621552494,-0.001049951511858099,0.3401535082109259,0.7019404323670765,-0.27937203015102074,0.23815704633657764,0.2434629182142734,0.3105361385876447,1.0,1.0
