feature_a,feature_b,correlation,abs_correlation,above_0_90
red_cobertura_4g_pct_roll_3m,red_tasa_cortes_pct_roll_3m,-0.8719124676475536,0.8719124676475536,False
red_cobertura_4g_pct_lag_1m,red_tasa_cortes_pct_roll_3m,-0.8713063092768748,0.8713063092768748,False
red_cobertura_4g_pct_lag_3m,red_indice_calidad_global_roll_3m,0.8631466246897096,0.8631466246897096,False
red_cobertura_4g_pct_lag_3m,red_tasa_cortes_pct_roll_3m,-0.8569312167341097,0.8569312167341097,False
red_cobertura_4g_pct_lag_1m,red_indice_calidad_global_roll_3m,0.8558207416240917,0.8558207416240917,False
fact_stress_calidad_lag_roll_3m,red_cobertura_4g_pct_lag_3m,-0.8547638356519425,0.8547638356519425,False
red_cobertura_4g_pct_lag_3m,red_tasa_cortes_pct_lag_3m,-0.8542688778570412,0.8542688778570412,False
red_cobertura_4g_pct_roll_3m,red_indice_calidad_global_roll_3m,0.8511614139955442,0.8511614139955442,False
fact_stress_calidad_lag_lag_2m,red_cobertura_4g_pct_lag_3m,-0.8509484198473714,0.8509484198473714,False
fact_stress_calidad_lag_lag_1m,red_cobertura_4g_pct_lag_3m,-0.8490164761892952,0.8490164761892952,False
red_cobertura_4g_pct_lag_3m,fact_stress_calidad_lag,-0.8475667930574731,0.8475667930574731,False
red_indice_calidad_global_roll_3m,red_tasa_cortes_pct_roll_3m,-0.8419400176723697,0.8419400176723697,False
red_cobertura_4g_pct_roll_3m,red_tasa_cortes_pct_lag_3m,-0.84120809642655,0.84120809642655,False
red_cobertura_4g_pct_lag_1m,fact_stress_calidad_lag,-0.8409648902218184,0.8409648902218184,False
red_cobertura_4g_pct_lag_1m,red_tasa_cortes_pct_lag_3m,-0.8396601035098493,0.8396601035098493,False
fact_stress_calidad_lag_roll_3m,red_cobertura_4g_pct_lag_1m,-0.8326420045083424,0.8326420045083424,False
red_indice_calidad_global_roll_3m,fact_stress_calidad_lag,-0.8234534064271294,0.8234534064271294,False
fact_stress_calidad_lag_lag_2m,red_tasa_cortes_pct_lag_3m,0.8153747683754998,0.8153747683754998,False
fact_stress_calidad_lag_lag_1m,red_indice_calidad_global_roll_3m,-0.8151603753531339,0.8151603753531339,False
red_indice_calidad_global_roll_3m,red_tasa_cortes_pct_lag_3m,-0.8142559671225715,0.8142559671225715,False
fact_stress_calidad_lag_roll_3m,red_tasa_cortes_pct_lag_3m,0.8125682243023216,0.8125682243023216,False
fact_stress_calidad_lag_lag_1m,fact_stress_calidad_lag,0.8112355164358609,0.8112355164358609,False
fact_stress_calidad_lag_lag_1m,red_tasa_cortes_pct_lag_3m,0.8069188481322551,0.8069188481322551,False
fact_stress_calidad_lag_lag_2m,fact_stress_calidad_lag,0.8048782155909553,0.8048782155909553,False
fact_stress_calidad_lag_lag_2m,fact_stress_calidad_lag_lag_1m,0.8028975444359002,0.8028975444359002,False
